strain_name,species,flavour1,flavour2,flavour3,prop1,val1,prop2,val2,prop3,val3,prop4,val4,prop5,val5,prop6,val6,prop7,val7,prop8,val8,prop9,val9,prop10,val10,prop11,val11,prop12,val12,prop13,val13,prop14,val14,prop15,val15
White Fire OG,hybrid,Earthy,Sweet,Pungent,Relaxed,100,Euphoric,94.81263349,Happy,79.87508899,Uplifted,79.7165232,Creative,61.19021423,Stress,100,Depression,86.13296399,Pain,61.50138504,Lack of Appetite,57.00831025,Muscle Spasms,49.2132964,Dry Mouth,100,Dry Eyes,51.49431738,Headache,30.6019363,Paranoid,23.93714045,Dizzy,22.46386979
Sour Diesel,sativa,Diesel,Earthy,Pungent,Happy,100,Energetic,82.08415474,Uplifted,80.82272225,Euphoric,73.95054697,Creative,60.97325871,Stress,100,Depression,91.5527793,Pain,68.29631223,Fatigue,41.57157759,Lack of Appetite,37.65921251,Dry Mouth,100,Dry Eyes,60.35956909,Paranoid,38.99766074,Anxious,35.38506843,Dizzy,28.44780649
Ice,hybrid,Pepper,Earthy,Menthol,Happy,100,Uplifted,92.48184537,Relaxed,89.70525416,Focused,83.93848783,Euphoric,75.30969671,Stress,100,Depression,85.24374177,Pain,84.14580588,Fatigue,60.25472112,Nausea,36.97848046,Dry Mouth,100,Dizzy,47.11437566,Paranoid,45.43546695,Headache,42.91710388,Dry Eyes,42.81217209
Tangie,sativa,Citrus,Orange,Sweet,Uplifted,100,Happy,97.76120259,Energetic,78.43233059,Euphoric,74.70288094,Creative,61.27639201,Depression,100,Stress,92.48375867,Pain,60.19413199,Fatigue,50.30497245,Eye Pressure,23.92115851,Dry Mouth,100,Dry Eyes,58.94403196,Anxious,26.0282169,Paranoid,20.46279649,Dizzy,14.98554961
Alien Asshat,hybrid,Citrus,Pungent,Earthy,Happy,100,Giggly,97.07602339,Relaxed,97.07602339,Talkative,94.15204678,Sleepy,91.22807018,Stress,100,Depression,80,Fatigue,60,Pain,60,Nausea,40,Dizzy,100,Dry Mouth,100,,,,,,
Melon Gum,hybrid,Lavender,Citrus,Earthy,Happy,100,Relaxed,99.70326409,Uplifted,67.06231454,Creative,66.76557864,Focused,65.87537092,Stress,100,Fatigue,90,Depression,80,Pain,80,Inflammation,60,Dry Mouth,100,Dizzy,27.27272727,Dry Eyes,27.27272727,Paranoid,18.18181818,Anxious,9.090909091
Allen Wrench,sativa,Citrus,Earthy,Pungent,Focused,100,Happy,96.41376352,Energetic,94.49554401,Uplifted,74.50316923,Euphoric,63.36915598,Stress,100,Depression,83.96589659,Pain,60.97359736,Fatigue,50,Lack of Appetite,42.40924092,Dry Mouth,100,Dry Eyes,54.76718404,Dizzy,10.19955654,Paranoid,9.179600887,Anxious,7.139689579
Calyx OG,hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skunk No. 1,hybrid,Pungent,Skunk,Earthy,Relaxed,100,Happy,96.49036571,Uplifted,93.49386209,Energetic,90.37318983,Euphoric,83.60396827,Pain,100,Muscle Spasms,86.45602295,Stress,72.83029151,Depression,68.0215438,Insomnia,47.18893591,Dry Mouth,100,Paranoid,42.10073687,Dry Eyes,15.77132001,Anxious,13.32621667,Dizzy,6.42989551
Cinex,sativa,Earthy,Pungent,Woody,Uplifted,100,Energetic,66.48813972,Focused,62.2595422,Happy,53.15549835,Relaxed,50.75368817,Depression,100,Stress,67.68318063,Fatigue,48.32196831,Pain,33.72378638,Lack of Appetite,28.66451185,Dry Mouth,100,Dry Eyes,55.01676219,Paranoid,43.80407603,Dizzy,28.72529929,Headache,22.18279082
