Strain Name,Species,Review Count,Rating Value,Pain,Euphoric,Fatigue,Paranoid,Focused,Spasticity,Nausea,Tingly,Headache,Dry Mouth,Aroused,Happy,Muscle Spasms,Uplifted,Anxious,Energetic,Headaches,Depression,Giggly,Talkative,Dizzy,Insomnia,Inflammation,Stress,Relaxed,Seizures,Cramps,Sleepy,Hungry,Lack of Appetite,Dry Eyes,Creative,Eye Pressure,Orange,Violet,Mint,Peach,Chestnut,Rose,Coffee,Citrus,Lime,Plum,Sage,Pine,Pungent,Pear,Tar,Tree Fruit,Berry,Vanilla,Pepper,Chemical,Tea,Ammonia,Apple,Skunk,Pineapple,Grapefruit,Honey,Earthy,Cheese,Blue Cheese,Tropical,Grape,Lemon,Flowery,Strawberry,Butter,Tobacco,Spicy/Herbal,Woody,Blueberry,Sweet,Lavender,Nutty,Apricot,Diesel,Menthol,Mango
White Fire OG,hybrid,650,4.5,61.2879308,94.69175374,0,23.96958848,0,0,0,0,30.73802538,100,0,79.08023028,49.41079482,79.52334267,0,0,0,86.02216953,0,0,22.51040428,0,0,100,100,0,0,0,0,57.07543919,51.4682314,61.10034231,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ice,hybrid,167,4.1,84.14580588,94.18823189,60.25472112,45.43546695,0,0,36.97848046,0,42.91710388,100,0,0,0,100,0,82.72372416,0,85.24374177,0,90.03903426,47.11437566,0,0,100,0,0,0,0,77.73601272,0,42.81217209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ghost OG,hybrid,407,4.5,96.97286279,69.35463421,0,24.47612166,0,0,0,0,0,100,0,68.13236972,0,42.9567643,17.68376798,0,0,68.66352402,0,0,15.81488537,60.5401962,0,100,100,0,0,39.24812983,0,44.07695248,57.01241542,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sour Diesel,sativa,5110,4.4,66.89582406,72.06474548,39.76746444,37.30193686,0,0,0,0,0,100,0,100,0,79.9488461,33.55622094,80.32475012,0,90.41835703,0,0,28.08020249,0,0,100,0,0,0,0,0,39.24666808,59.60690732,59.71932028,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Granddaddy Purple,indica,3169,4.4,85.89578658,66.07554767,0,0,0,0,0,0,7.058857708,100,0,61.61018013,0,0,10.84856137,0,0,61.63890895,0,0,22.95254045,81.50994449,0,100,100,0,0,74.61082267,43.26372437,40.05397059,50.88722936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Moby Dick,sativa,444,4.3,55.1302371,91.49671586,36.22944783,29.89548898,0,0,0,0,0,100,0,87.68752027,0,100,38.31180831,84.18241161,0,75.83369355,0,0,25.69451574,0,0,100,74.69794032,0,0,0,0,18.04428222,59.46656263,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Lost Sierra Night Nurse,hybrid,1,5,100,0,0,0,100,0,0,0,0,100,0,100,100,100,0,100,100,0,0,0,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
Golden Calyx,sativa,4,5,100,0,0,0,0,0,0,0,100,50,0,75,100,75,0,75,100,0,0,0,0,0,0,100,100,0,0,0,50,0,50,0,100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Broke Diesel,hybrid,2,5,50,100,0,0,0,0,100,0,100,0,0,50,0,100,0,50,0,0,0,0,0,50,0,100,0,0,0,0,0,0,100,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake of Fire,hybrid,43,4.5,89.55223881,0,41.41791045,0,0,0,0,0,0,100,0,96.85314685,0,94.33566434,12.3566879,0,41.41791045,0,0,0,2.292993631,0,0,100,100,0,0,0,48.11188811,42.08955224,16.94267516,53.63636364,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jelly Roll,indica,7,4.7,0,0,0,100,0,0,36.84210526,0,0,0,0,44.44444444,0,33.33333333,0,0,31.57894737,0,0,33.33333333,0,100,0,68.42105263,83.33333333,0,31.57894737,100,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Platinum Kush,indica,493,4.4,82.39918352,66.60988654,0,64.63392288,51.94941391,0,0,0,0,100,0,59.87960836,0,61.06239058,43.85375239,0,0,68.11284969,0,0,44.35495365,69.85841747,0,100,100,0,0,0,0,62.3357793,55.94552957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Jilly Dawg,hybrid,2,5,0,50,0,0,50,0,0,0,0,100,0,100,0,100,0,50,0,100,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
